id,year,newspaper,language,script,title,text,url
news_archive:CNTS-00098985267,1896,독립신문(서재필),Modern Korean,Hangeul,민필지,민필셰게 지리 셔를 한문으로 번역거신 사마다 볼만 이니 학문샹에 유의 이 이을 죵노 젼에셔 사시 갑슨 여덜냥,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985267
news_archive:CNTS-00098985268,1896,독립신문(서재필),Modern Korean,Hangeul,가메야회샤,가메야회셔울 졍동 외국 샹등 물건을 파 물건이 다 죠코 갑도 외누리 업더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985268
news_archive:CNTS-00098985269,1896,독립신문(서재필),Modern Korean,Hangeul,안창회샤,안창회셔울 졍동 셔양 물건과 쳥국 물건을 파 샹등 셔양 슐과 각 담가 만히 잇더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985269
news_archive:CNTS-00098985270,1896,독립신문(서재필),Modern Korean,Hangeul,한영자뎐 한영문법,한영자한영문법 죠션 사이 영국 말을 호랴면 이 두 보다 더 긴 거시 업지라 이 두이 미국인 워두우  거시니 한영뎐은 영국 말과 언문과 한문을 합야  이오 한영문법은 영국문법과 죠션 문법을 서로 견주 엇시니 말이 간단야 영국말을 셰히 호랴면 이이 잇서야 거시니라 갑 한영뎐 원 한영문법 삼원 학당 한미화활판소에 와사라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985270
news_archive:CNTS-00098985271,1896,독립신문(서재필),Modern Korean,Hangeul,졔물포 륜션 츌발표,졔물포 륜션 츌발월 팔일에 혹마루가 부산 고베 등지에 가고 월 구일 견마루가 지부 쳔진 등지에 가고 월 구일에 샷쥬마마루 가 나가사기 항 등지에 간다더라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985271
news_archive:CNTS-00098985272,1896,독립신문(서재필),Modern Korean,Hangeul,물가,물 상픔 되 셕량너돈오푼 즁픔 되 셕량두돈 하픔 되 셕량 팟 상픔 되 두량아홉돈 즁픔 되 두량여돈 콩 상픔 되 두량 죵픔 되 량여돈 셔양목 상픔 자 두량두돈 즁픔 자 두량돈 무명 상픔 자 량 즁픔 자 여돈 베 상픔 자 닷량 즁픔 자 석량 하픔자 량 두돈 모시 상픔 자 두량 닷돈 즁픔 한자 한량 여돈 하픔 자 량 서돈 셕유 궤 륙십륙량,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985272
news_archive:CNTS-00098985273,1896,독립신문(서재필),Modern Korean,Hangeul,우쳬시간표,우쳬시간한셩외 모히 시간 오젼 칠시 십시 오후 일시 시 젼 시간 오젼 구시 졍오 십이시 오후 삼시 륙시 한셩 인쳔 간 보내 시간 오젼 구시 오 시간 오후 오시 삼십분 한셩 개셩간 보내 시간 오젼 구시 오 시간 오후 이시 삼십분 한셩 슈원 공쥬 젼쥬 남원 나쥬 간 보내 시간 오젼 구시 오 시간 오후 삼시 한셩 츙쥬 안동 대구 동내 간 보내 시간 오젼 구시 오 시간 오후 삼시,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985273
news_archive:CNTS-00098985274,1896,독립신문(서재필),Modern Korean,Hangeul,하관이 샹관의 녕을 듯지 아니 면 각국에셔 두말 업시 그하관을 거 ,잡보연하관이 샹관의 녕을 듯지 아니 면 각국에셔 두말 업시 그하관을 거 법이요 그런고로 법률과 규칙이 국즁에 셔고 만일 하관이 샹관의게 실례 말을 면 하관이 즁벌을 닙법이요 만일 하관이 샹관을 리든지 손을 걸든지 면 하관은 몃십년 증역 시기 법이요 륙 군속은 군가 샹관을 치든지 면 그 군 포살  법이니우리가 들으니 갈닌 쥬 관찰 니명션이가 졍부를 반 이 잇다 셔 벼을 갈녀다니 만일 그말이 분명 진 다만 면직만  아니라 즁벌을 바다야 맛당 리라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985274
news_archive:CNTS-00098985275,1896,독립신문(서재필),Modern Korean,Hangeul,독닙신문이 본국과 외국졍을 자셰이 긔록터이요 졍부속과 민간 소문을,광독닙신문이 본국과 외국졍을 자셰이 긔록터이요 졍부속과 민간 소문을 다보고 터이라 졍치샹일과 농 쟝 의술샹 일을 얼만콤식 이신문샹 일 긔록홈 갑슨 일년에 일원삼십젼 에 십이젼 쟝에 동젼 푼 독닙신문 분국이 졔물포 원산 부산 파주 숑도 평양 슈원 강화 등지에 잇더라 신문을 노졍든지 일년간으로 졍여 사보고스분이 졍동 독닙신문샤로 와셔 돈을 미리내고 셩명과 집이 어라고 젹어 노코 가면 로걸어 신문을 보내줄터이니 신문 보고 스분이 속히 셩명을 보내기 라옴 무론 누구든지 무러볼말이 잇든지 셰상사의게 고스분말잇면 이신문샤로 간단게 귀졀여셔 편지면 답만말이든지 신문에 낼만 말이면 답터이요 내기도 터이옴 한문으로 편지 당초에 샹관아니홈 경향간에 무론 누구든지 길거리에셔 쟝이 이신문을 가져다가 노코 팔고져 거든 여긔와셔 신문을 가져다가 팔면 열쟝에 여쟝만 세음고 쟝에 여든쟝만 세음홈,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985275
news_archive:CNTS-00098985276,1896,독립신문(서재필),Modern Korean,Hangeul,우리가 오날 신문에 죠칙을 긔록엿스니 인민이 이걸보고 안심여,우리가 오날 신문에 죠칙을 긔록엿스니 인민이 이걸보고 안심여 각각 뎌희 직무를 이담브터 기를 밋노라 님군이 이러케 간졀이 말시 그님군에 신민되여 죠칙을 듯지아니고 죵시 난을짓든지 무법 일을 경향간에셔 거드면 그사은 필경 죄를닙고 목심을 일어릴터이니 님군과 동국 신민과 부모쳐와 뎌희 몸을 랑 쟈 이 를 타셔 속히 집에 도라가 농를 든지 든 직업을 여구이 거시 신의 도리요 식의 횡실이라 만일 각업시 무법일을 고 난을 짓 거슨 즉졔가 졔무덤을 파거시요  졔 부모 쳐의게 화를 젼바니 하로 밧비 못된일 든거슨 더러운 물건 내버리듯 기고 대군쥬 폐하의 죠칙을 승죵야 집에 도라가 녯직업을 다시여 쳐를 보호며 졔몸을 올케가지면 첫 뎌희 집이 편터이요 둘 죠션젼국이 턔평야 나라이 강고 부요케될 터이니 유지각고 군민 사은 이죠칙을 듯고 곳라시로 기를 우리 밋노라 시방 텬하 형셰가 이왕과 달나 죠션이 셰계 각국과 서로통샹터이니 죠칙에 신말 치 셰계지인이 다형뎨라 무론 어늬나라 사이든지 죠션 와셔 사이 즉 죠션 인민의 손님이라 쥬인 되여셔 집에 오신 손님을 박든지 든지 거슨 야만에 일이요  손님이 죠션 인민을 졈잔 쥬인으로 졉 아니고 무례 일을 터이니 죠션 젼국이 그를 닙을 터이라 시방 죠션이 강치도 못고 부요치도 못며 인민이 도탄즁에 잇거슨 다름아니라 죠션 사들이 나라를 위 이 업고 다만 졔몸에 당쟝 유익 거슬 취여 뎌희 동국 인민을 랴며 서로 뎌희리 싸호니 필경은 져지 를 닙고  나라 어언간에 졈졈 약고 취리일과  방은 마다 젹어지니 이게엇지 한심치 아니리요 시방 이 동국 인민리 서로 싸홈 가 아니라 서로 돕고 서로 보호고 서로 랑야 죠션이 외국 인민의게 강게도 뵈일터이니 그런고로 죠션 인민이 의게 대졉도 바들터이홈 녯 병셔를 보아도 두나라이 서로 싸홀에 모 기를 엇더케든지여 젹진속에 이간을 부쳐 두 쟝슈 리 셔로 미워 게든지 그젹병의 쟝슈와 그 쟝슈에 님군이의 이간을 부쳐 셔로미워게면 그젹군이 졔졀노 약지법이니 그를타셔 젹을 치면 젼승 법이라 번 패여 나라를 일흔후에 그걸닷고 뉘웃쳐나 쓸가 잇스리요 시방 죠션은 누구와 싸홈은 아니나 죠션 차지고 시비 나라 셰계에 만이잇슨즉 만일 죠션 인민이 이 이간 부치기젼에 서로싸호면 그를타셔 누구든지 와셔 죠션을 차지여도 엇지슈 업실터이니 셜령 죠션 인민되여 지혜와 학문이 업슨즉 나라를 크게 돕지 못드도 나라를 망케거슨 즉 나라에 역젹이요 부모의게 불효요 쳐의게 의업 사이라 죠션 인민이 이졍을 몰으 기에 그러케 뎌희들리 서로 랴고 의게 업수히 넉임을 밧거시니 원컨 유지각 이 우리신문을 보고 과쳔션여 오날브터 시작여 합심여 님군을 위고 졍부를 졉며 동국인민을 랑고 외국인민을 의심업시 형뎨치 졉면 죠션은스로 강질터이요 외국인민도 죠션 사을 진실고 졈잔 쥬인으로 졉터니 그런거슬 드른후에 치 아니쟈 졔몸도위줄 몰으고 나라도 위줄 몰오 인으로 셰계가 알테니라,https://www.nl.go.kr/newspaper/detail.do?content_id=CNTS-00098985276
